Source,Serial.Number,Start.Time,Segment.Start.Time,Segment.Duration,UpDown.mean,UpDown.median,UpDown.var,UpDown.sd,UpDown.mad,Degrees.mean,Degrees.median,Degrees.var,Degrees.sd,Degrees.mad,Step.count,Step.sd,Step.mad,Principal.Frequency.median,Principal.Frequency.mad,Principal.Frequency.ratio,Light.mean,Light.max,Temp.mean,Magnitude.mean,Activity
8,13901,1359721737,12:28:57,79,22.714,21.809,378.58,19.457,13.158,222.456,245,6832.174,82.657,7.413,15,339.255,203.857,0.1,0.148,Inf,4,37,23.7,1.002,walk
9,13901,1359721816,12:30:16,159,28.096,24.392,291.533,17.074,12.519,252.057,258,1770.269,42.075,10.378,29,556.176,382.511,0.1,0.074,Inf,0,0,24.3,0.984,walk
10,13901,1359721975,12:32:55,29,30.422,42.133,1128.095,33.587,22.062,262.103,269,669.167,25.868,22.239,3,274.999,227.579,0.2,0.074,Inf,0,0,25,0.922,walk
11,13901,1359722004,12:33:24,84,-43.163,-65.605,2168.605,46.568,16.016,186.214,273.5,20265.785,142.358,44.478,18,467.528,312.829,0.1,0,Inf,157,379,25,1.023,walk
12,13901,1359722088,12:34:48,36,-17.723,-37.491,3049.803,55.225,54.777,255.389,255,1161.387,34.079,39.289,2,1467.131,679.031,0.1,0,Inf,280,373,23.9,0.982,walk
13,13901,1359722124,12:35:24,94,-62.36,-73.61,1066.516,32.658,5.616,193.521,259.5,18226.08,135.004,48.926,11,648.211,726.474,0.8,0.445,Inf,118,371,23,1.106,walk
14,13901,1359722218,12:36:58,24,-50.054,-71.074,1945.547,44.108,4.612,262.083,267,1856.167,43.083,28.911,3,273.282,183.842,1.4,0.148,Inf,35,53,22.2,1.059,walk
15,13901,1359722242,12:37:22,31,-63.353,-71.122,861.461,29.351,3.836,216.452,271,15947.789,126.285,26.687,2,645.454,54.856,2.4,1.038,Inf,56,291,22.1,0.992,walk
16,13901,1359722273,12:37:53,31,-45.333,-67.018,1637.516,40.466,8.944,238.677,257,4365.826,66.074,42.995,6,624.464,160.121,0.2,0,Inf,131,349,21.6,1.026,walk
18,13901,1359722317,12:38:37,26,7.472,1.928,364.114,19.082,6.776,227.308,230,2756.222,52.5,29.652,3,411.001,147.519,0.1,0.074,Inf,12,37,21.4,1.079,walk
2,13901,1359719999,11:59:59,64,-15.778,-11.229,1318.804,36.315,34.862,206.641,235.5,7087.885,84.19,45.219,4,1046.785,905.869,0.2,0.148,Inf,5,99,30.6,1.046,walk
3,13901,1359720063,12:01:03,33,-32.03,-31.304,429.098,20.715,17.842,195.03,254,15810.28,125.739,68.2,1,564.978,592.299,0.1,0.148,Inf,0,3,29.6,0.955,walk
4,13901,1359720096,12:01:36,67,-48.466,-60.526,879.654,29.659,17.912,236.015,254,5626.379,75.009,35.582,12,556.147,385.476,0.15,0.222,Inf,0,0,28.9,1.023,walk
5,13901,1359720163,12:02:43,63,-50.114,-67.581,1130.288,33.62,10.165,237.476,246,1017.544,31.899,22.239,12,591.204,293.555,0.1,0,Inf,0,0,28.2,1.033,walk
6,13901,1359720226,12:03:46,35,-9.036,-6.332,1789.93,42.308,57.777,176.2,227,16525.047,128.55,60.787,5,418.908,486.293,0.1,0,Inf,5,48,27.8,1.066,walk
7,13901,1359720261,12:04:21,46,-26.923,-11.285,2016.614,44.907,52.11,229.652,233,2781.965,52.744,44.478,4,768.429,481.845,0.15,0.074,Inf,0,0,27.4,0.988,walk
9,13901,1359720321,12:05:21,24,1.373,6.651,395.753,19.894,16.696,215,213.5,3874.87,62.248,44.478,0,NA,0,0.1,0,Inf,0,0,27.1,1.059,walk
10,13901,1359720345,12:05:45,62,2.501,5.575,198.481,14.088,12.437,262.726,262.5,2515.94,50.159,42.254,4,1205.745,1899.211,0.2,0.148,Inf,4,45,27.1,0.991,walk
11,13901,1359720407,12:06:47,218,12.537,26.448,1959.927,44.271,32.466,169.156,243.5,21165.294,145.483,86.732,55,389.371,287.624,0.1,0,Inf,40,336,24.8,0.981,walk
12,13901,1359720625,12:10:25,162,13.639,25.593,1995.267,44.668,30.025,111.179,-14.5,24069.353,155.143,42.254,26,707.362,314.311,0.1,0,Inf,109,379,23.2,0.976,walk
13,13901,1359720787,12:13:07,36,-36.665,-35.216,47.43,6.887,6.328,211.583,208,143.793,11.991,10.378,7,473.389,134.917,1.2,0.222,Inf,100,317,22.5,1.034,walk
14,13901,1359720823,12:13:43,139,-57.222,-71.56,1242.289,35.246,6.871,215.108,270,12759.633,112.959,47.443,23,526.163,521.134,1.05,0.593,Inf,2,80,22.3,1.052,walk
15,13901,1359720962,12:16:02,74,-10.534,18.264,2261.568,47.556,29.635,246.162,262,2501.59,50.016,43.737,14,517.32,200.151,0.1,0.148,Inf,0,0,22.9,1.02,walk
16,13901,1359721036,12:17:16,29,-58.728,-67.552,476.872,21.837,15.996,201.655,262,15962.52,126.343,53.374,3,973.232,300.968,0.25,0.148,Inf,1,13,23.1,1.003,walk
17,13901,1359721065,12:17:45,96,-54.118,-70.217,1313.854,36.247,12.986,203.708,238,10846.882,104.148,60.787,16,421.364,495.188,0.15,0.074,Inf,1,59,23.6,1.091,walk
19,13901,1359721164,12:19:24,34,-15.451,-0.527,2020.336,44.948,33.895,81.118,94,8554.41,92.49,143.071,0,NA,0,0.1,0.148,Inf,109,357,23.8,0.979,walk
4,13901,1358339859,12:37:39,593,-6.79,-19.973,2134.244,46.198,44.9,162.02,198,8909.456,94.39,80.06,44,1505.167,793.191,2.7,0,Inf,29,88,25.4,2.367,run
4,13893,1358339875,12:37:55,218,-13.542,-30.063,2522.057,50.22,46.945,145.468,186.5,7372.858,85.865,58.563,3,6396.443,3375.88,2.7,0,Inf,53,91,25.6,2.128,run
5,13893,1358340093,12:41:33,42,-7.155,-30.758,2933.6,54.163,50.358,150.381,176,7183.998,84.758,62.269,1,1730.29,1813.961,2.7,0,Inf,51,80,25.3,2.034,run
6,13893,1358340135,12:42:15,147,-10.774,-24.995,2367.352,48.655,44.497,139.463,180,8232.332,90.732,60.787,1,7801.509,8178.763,2.7,0,Inf,49,88,25.3,2.491,run
7,13893,1358340282,12:44:42,176,-14.044,-25.41,2157.722,46.451,48.923,142.443,179.5,8074.374,89.858,72.647,4,1854.291,2004.475,2.7,0,Inf,51,96,25.5,2.278,run
5,13895,1358339097,12:24:57,478,-7.227,-25.051,2418.542,49.179,45.081,149.345,186,7347.669,85.719,68.2,8,14281.584,87.473,2.7,0,Inf,57,109,26,2.101,run
6,13895,1358339575,12:32:55,38,-11.49,-25.078,1823.676,42.705,22.938,146.684,193,7845.465,88.575,46.702,0,NA,0,2.65,0.074,Inf,59,99,25.5,2.314,run
8,13895,1358339623,12:33:43,130,-11.991,-20.84,1894.448,43.525,45.502,150.315,181,6929.117,83.241,63.01,1,7517.252,7880.76,2.7,0,24,56,104,25.6,2.023,run
3,13894,1358339096,12:24:56,65,-9.798,-22.387,2554.59,50.543,52.489,167.677,209,8765.378,93.624,42.995,6,1387.437,163.086,2.7,0.148,Inf,44,93,25.5,2.032,run
4,13894,1358339161,12:26:01,481,-6.315,-23.884,2579.622,50.79,47.009,172.651,210,8177.403,90.429,75.613,26,2295.741,679.031,2.7,0,Inf,40,101,24.2,2.237,run
5,13894,1358339642,12:34:02,24,-11.919,-8.668,786.031,28.036,26.999,170.667,216.5,6827.014,82.626,31.876,0,NA,0,2.7,0,Inf,42,69,23.4,2.626,run
6,13894,1358339666,12:34:26,86,-13.677,-35.077,2713.853,52.095,37.687,174.209,210.5,10649.203,103.195,84.508,4,1194.398,859.908,2.7,0,Inf,36,85,23.5,2.225,run
2,13894,1360922398,09:59:58,292,-1.079,-3.326,28.626,5.35,0.986,217.764,219,321.686,17.936,1.483,0,NA,0,5,4.151,3.75,20,107,28.8,1.009,sit
3,13894,1360922690,10:04:50,68,-0.463,-0.495,0.278,0.527,0.645,221.088,221,0.947,0.973,1.483,0,NA,0,6,3.929,3,7,11,29.3,1.004,sit
4,13894,1360922758,10:05:58,55,4.568,0.607,95.481,9.771,2.97,204.473,221,796.809,28.228,16.309,3,1251.706,1120.846,0.1,0.148,Inf,27,61,29.5,1.008,sit
5,13894,1360922813,10:06:53,51,18.648,19.147,10.998,3.316,0.951,182.863,183,45.561,6.75,2.965,0,NA,0,0.1,0,Inf,30,48,29.5,1.04,sit
6,13894,1360922864,10:07:44,28,17.557,15.544,56.598,7.523,1.168,205.821,209,125.115,11.185,2.965,1,1447.448,1517.441,1.8,2.669,Inf,29,48,29.5,1.02,sit
7,13894,1360922892,10:08:12,24,18.823,18.495,1.143,1.069,0.718,214,213.5,2.174,1.474,0.741,0,NA,0,5.5,3.706,Inf,30,32,29.5,1.011,sit
8,13894,1360922916,10:08:36,106,20.199,20.348,4.935,2.222,0.967,180.708,181,50.399,7.099,1.483,0,NA,0,5.9,2.965,Inf,92,157,29.4,1.041,sit
1,13896,1360922397,09:59:57,26,11.503,11.233,3.348,1.83,0.852,155.741,156,18.353,4.284,1.483,0,NA,0,4.3,6.227,Inf,133,155,32.5,1.033,sit
2,13896,1360922424,10:00:24,60,7.386,7.41,0.21,0.458,0.474,174.317,174,0.83,0.911,1.483,0,NA,0,0.1,0.148,4.5,49,72,32.5,1.03,sit
3,13896,1360922484,10:01:24,159,-0.897,-1.694,50.851,7.131,0.645,212.497,214,120.834,10.992,1.483,0,NA,0,12.55,12.454,1.727,3,195,32.7,1.001,sit
4,13896,1360922643,10:04:03,115,-0.833,-0.802,0.286,0.535,0.637,217.487,217,2.48,1.575,1.483,0,NA,0,15.9,16.234,2.143,0,3,32.8,0.999,sit
5,13896,1360922758,10:05:58,31,4.926,0.54,225.916,15.031,4.257,211.613,213,83.045,9.113,4.448,0,NA,0,0.1,0.148,Inf,18,141,33,1.006,sit
6,13896,1360922789,10:06:29,23,1.826,1.669,0.472,0.687,0.357,217.87,218,1.937,1.392,1.483,0,NA,0,5.5,8.154,2,0,8,33,0.995,sit
7,13896,1360922812,10:06:52,80,2.879,-8.193,338.137,18.389,8.896,219.375,223,182.845,13.522,2.965,0,NA,0,0.5,0.741,6.5,25,160,33.2,0.993,sit
8,13896,1360922892,10:08:12,26,20.298,20.321,0.774,0.88,0.762,227.5,226.5,16.9,4.111,0.741,0,NA,0,6.4,4.744,Inf,38,48,33.2,0.984,sit
9,13896,1360922918,10:08:38,31,19.354,19.774,6.119,2.474,0.543,201.71,203,23.813,4.88,1.483,0,NA,0,4.8,1.631,Inf,118,176,33.2,1,sit
10,13896,1360922949,10:09:09,29,18.477,18.278,0.784,0.886,0.659,203.517,203,0.616,0.785,1.483,0,NA,0,5.85,1.186,Inf,121,133,33.2,1.005,sit
11,13896,1360922978,10:09:38,41,18.423,18.409,0.56,0.748,0.474,204.463,204,0.505,0.711,0,0,NA,0,6.9,2.817,Inf,122,133,33,1.008,sit
2,13901,1360921678,09:47:58,85,15.278,19.663,85.244,9.233,0.99,207.729,215,308.89,17.575,1.483,1,5571.294,5840.703,4.6,6.672,7,13,307,30.1,1.009,sit
3,13901,1360921763,09:49:23,56,23.229,24.219,45.633,6.755,1.632,208.643,215,483.688,21.993,5.93,0,NA,0,0.25,0.297,Inf,3,59,30.1,1.014,sit
4,13901,1360921819,09:50:19,91,22.926,22.961,0.817,0.904,0.568,214.648,214,9.231,3.038,1.483,0,NA,0,6.5,2.224,Inf,0,0,30.3,1.005,sit
6,13901,1360921911,09:51:51,54,43.639,39.011,233.163,15.27,1.495,192.093,202,718.765,26.81,1.483,0,NA,0,0.1,0,Inf,2,11,30.5,1.01,sit
7,13901,1360921965,09:52:45,33,26.711,26.411,1.106,1.052,0.63,193.485,193,19.758,4.445,5.93,0,NA,0,0,0,Inf,0,0,30.6,1.025,sit
8,13901,1360921998,09:53:18,100,23.35,23.078,11.067,3.327,0.516,195.77,196,6.058,2.461,2.965,1,6921.868,7256.586,4.3,6.375,Inf,0,8,30.7,1.026,sit
9,13901,1360922098,09:54:58,23,22.636,22.098,8.355,2.891,1.655,188.826,193,134.241,11.586,4.448,0,NA,0,0.1,0,Inf,3,8,30.9,1.029,sit
10,13901,1360922121,09:55:21,56,10.268,5.741,99.421,9.971,0.915,159.107,151,379.625,19.484,1.483,2,2816.317,120.091,0.1,0.074,Inf,1,8,30.9,1.067,sit
11,13901,1360922177,09:56:17,35,16.399,14.117,15.966,3.996,1.204,196.086,205,331.904,18.218,1.483,0,NA,0,0.1,0.148,Inf,4,8,30.9,1.027,sit
12,13901,1360922212,09:56:52,34,15.817,22.075,520.96,22.825,10.69,173.118,190,972.592,31.186,20.756,1,1962.221,2057.108,0.1,0,Inf,4,8,30.9,1.033,sit
13,13901,1360922246,09:57:26,42,10.613,10.845,1.167,1.08,0.443,168.952,169,2.144,1.464,1.483,0,NA,0,0.1,0,Inf,5,5,30.9,1.042,sit
15,13901,1360922290,09:58:10,37,36.453,63.212,2336.585,48.338,13.844,99.703,82,2109.437,45.929,5.93,0,NA,0,0.15,0.148,Inf,217,320,30.8,1.032,sit
1,13893,1360919389,09:09:49,46,27.843,27.865,28.987,5.384,2.858,169.085,171,127.427,11.288,5.93,0,NA,0,0.1,0,Inf,272,304,16.6,1.041,drive
2,13893,1360919436,09:10:36,40,23.568,23.966,10.026,3.166,2.402,170.8,171,4.113,2.028,1.483,0,NA,0,0.2,0.148,Inf,176,200,18,1.037,drive
3,13893,1360919476,09:11:16,36,23.863,23.584,6.411,2.532,2.414,171.75,172,10.479,3.237,2.965,0,NA,0,1.5,1.26,Inf,212,256,19,1.021,drive
5,13893,1360919530,09:12:10,36,14.533,14.369,7.031,2.652,2.544,174.556,174,4.368,2.09,2.965,0,NA,0,0.1,0.074,Inf,259,272,20.3,1.041,drive
6,13893,1360919566,09:12:46,23,16.136,14.792,11.452,3.384,1.996,173.87,174,1.028,1.014,1.483,0,NA,0,23.7,0.148,Inf,273,285,20.8,1.038,drive
8,13893,1360919600,09:13:20,132,13.151,12.612,13.028,3.609,2.073,174.174,174,4.237,2.058,1.483,0,NA,0,0.2,0.148,Inf,219,291,22.2,1.03,drive
10,13893,1360919735,09:15:35,51,17.695,17.809,36.193,6.016,5.603,173.275,174,22.403,4.733,2.965,0,NA,0,0.1,0,Inf,193,264,23.3,1.037,drive
11,13893,1360919786,09:16:26,55,13.54,14.094,12.256,3.501,3.033,173.291,173,2.247,1.499,1.483,0,NA,0,0.1,0.074,4,202,237,23.8,1.037,drive
12,13893,1360919841,09:17:21,90,11.931,12.315,23.289,4.826,4.023,174.078,174,7.758,2.785,2.965,0,NA,0,2.4,3.113,Inf,173,224,24.4,1.038,drive
1,13894,1360918624,08:57:04,35,-12.309,-12.424,27.191,5.215,4.748,157.25,156,48.821,6.987,5.189,0,NA,0,0.1,0,Inf,185,296,18.9,1.055,drive
3,13894,1360918664,08:57:44,69,-11.064,-11.821,26.932,5.19,3.671,162.275,161,48.85,6.989,7.413,0,NA,0,0.1,0,Inf,288,325,20.1,1.044,drive
4,13894,1360918733,08:58:53,34,-7.439,-9.261,17.384,4.169,1.291,169.676,169,19.922,4.463,3.706,0,NA,0,0.1,0,Inf,334,344,20.9,1.045,drive
5,13894,1360918767,08:59:27,36,-10.8,-11.857,75.598,8.695,9.481,166.972,165.5,119.171,10.917,8.896,0,NA,0,0.1,0.148,Inf,329,344,21.5,1.055,drive
7,13894,1360918806,09:00:06,78,-11.522,-11.169,24.036,4.903,4.229,171.513,171,28.149,5.306,5.189,0,NA,0,0.1,0,Inf,309,339,22.3,1.041,drive
8,13894,1360918884,09:01:24,98,-13.273,-13.355,13.827,3.718,2.856,169.245,169,22.393,4.732,2.965,0,NA,0,0.15,0.222,17,289,325,23.3,1.042,drive
9,13894,1360918982,09:03:02,29,-11.376,-11.332,11.149,3.339,3.518,165.828,165,11.933,3.454,4.448,0,NA,0,4.55,6.598,Inf,280,309,23.9,1.067,drive
11,13894,1360919029,09:03:49,43,-13.085,-12.886,22.521,4.746,5.204,165.581,166,28.44,5.333,5.93,0,NA,0,0.1,0,Inf,294,309,24.4,1.065,drive
13,13894,1360919074,09:04:34,71,-12.669,-12.65,18.967,4.355,2.382,164.62,165,18.325,4.281,2.965,0,NA,0,0.3,0.297,Inf,283,317,24.7,1.053,drive
14,13894,1360919145,09:05:45,25,-13.948,-14.33,18.944,4.352,2.97,164.24,165,13.69,3.7,4.448,0,NA,0,0.1,0,Inf,290,317,25,1.048,drive
16,13894,1360919175,09:06:15,75,-11.676,-12.162,6.113,2.473,1.114,163.293,163,9.102,3.017,1.483,0,NA,0,6.15,2.002,Inf,275,309,25.3,1.056,drive
18,13894,1360919260,09:07:40,21,-3.058,-19.85,1926.048,43.887,57.139,112.667,110,3381.733,58.153,59.304,0,NA,0,0.1,0,Inf,194,419,25.5,1.061,drive
2,13896,1360918628,08:57:08,73,4.19,1.18,222.809,14.927,5.504,177.808,178,369.213,19.215,10.378,0,NA,0,0.1,0,Inf,219,419,21.4,1.055,drive
3,13896,1360918701,08:58:21,32,2.78,0.228,136.091,11.666,6.432,188.969,191,144.676,12.028,6.672,0,NA,0,0.1,0,Inf,235,291,22.3,1.031,drive
5,13896,1360918745,08:59:05,29,-0.641,-2.322,107.392,10.363,3.559,193.552,194,31.899,5.648,2.965,0,NA,0,0.1,0.074,Inf,300,312,22.9,1.067,drive
6,13896,1360918774,08:59:34,72,-1.277,-0.779,31.839,5.643,5.358,193.931,194,59.249,7.697,5.189,0,NA,0,0.1,0,Inf,282,387,23.5,1.031,drive
7,13896,1360918846,09:00:46,25,-0.392,0.363,49.784,7.056,6.548,196.4,193,56.167,7.494,7.413,0,NA,0,0.2,0.148,Inf,263,371,24,1.008,drive
9,13896,1360918881,09:01:21,57,0.752,0.365,7.366,2.714,2.335,194.982,195,22.482,4.742,4.448,0,NA,0,6.7,2.595,9,271,376,24.6,1.017,drive
11,13896,1360918941,09:02:21,50,1.399,1.842,11.938,3.455,3.469,196.18,196,29.742,5.454,2.965,0,NA,0,6.2,0.593,Inf,192,309,25.2,1.009,drive
12,13896,1360918991,09:03:11,26,-1.287,0.016,19.276,4.39,3.325,199.462,200.5,50.898,7.134,8.154,0,NA,0,5.6,1.631,Inf,219,288,25.5,1.023,drive
13,13896,1360919017,09:03:37,49,0.12,-0.744,15.51,3.938,3.172,194.694,196,21.759,4.665,4.448,0,NA,0,6.6,6.449,7,270,379,25.9,1.006,drive
14,13896,1360919066,09:04:26,36,1.817,1.744,5.071,2.252,1.423,192.972,194,24.256,4.925,2.965,0,NA,0,7.15,1.483,Inf,201,368,26.2,1.013,drive
15,13896,1360919102,09:05:02,42,0.26,-0.403,22.075,4.698,2.806,194.524,196,46.548,6.823,7.413,0,NA,0,0.1,0,Inf,255,357,26.3,1.044,drive
17,13896,1360919145,09:05:45,116,0.353,0.122,3.426,1.851,1.632,196.414,197,12.123,3.482,2.965,0,NA,0,6.7,1.186,Inf,224,376,26.7,1.007,drive
18,13896,1360919261,09:07:41,26,5.771,6.502,277.759,16.666,11.121,180.308,174,1349.022,36.729,34.841,1,600.334,629.364,0.1,0,Inf,314,389,27,1.089,drive
3,13892,1360919404,09:10:04,33,-3.44,-2.991,32.957,5.741,4.088,160.03,156,93.843,9.687,7.413,0,NA,0,0.2,0.148,Inf,240,333,16.3,1.095,drive
4,13892,1360919437,09:10:37,73,-4.475,-4.817,10.013,3.164,2.979,157.356,157,7.677,2.771,2.965,0,NA,0,20.7,1.186,Inf,161,211,17.9,1.049,drive
5,13892,1360919510,09:11:50,21,-8.685,-9.799,34.887,5.907,5.6,162.952,163,4.248,2.061,2.965,0,NA,0,0.1,0,Inf,194,213,19.2,1.063,drive
6,13892,1360919531,09:12:11,54,-3.377,-3.965,60.212,7.76,3.339,162.685,162.5,47.654,6.903,3.706,0,NA,0,10.8,2.372,Inf,211,453,20.1,1.066,drive
8,13892,1360919586,09:13:06,49,-4.89,-4.374,27.141,5.21,3.344,144.02,144,19.937,4.465,4.448,0,NA,0,6.45,9.489,Inf,282,296,21.2,1.039,drive
9,13892,1360919635,09:13:55,53,-4.161,-4.363,6.132,2.476,2.012,147.208,147,8.783,2.964,2.965,0,NA,0,11.8,1.927,Inf,282,307,22.2,1.062,drive
10,13892,1360919688,09:14:48,41,-4.953,-4.886,7.995,2.828,2.644,145.805,146,16.961,4.118,4.448,0,NA,0,7,9.34,Inf,274,307,22.9,1.059,drive
11,13892,1360919729,09:15:29,40,-7.2,-7.015,25.847,5.084,4.953,145.45,145,22.151,4.707,5.93,0,NA,0,0.1,0,Inf,288,307,23.5,1.055,drive
12,13892,1360919769,09:16:09,45,-9.22,-8.931,5.973,2.444,2.403,141.822,141,27.104,5.206,1.483,0,NA,0,0.2,0.148,1.667,300,307,23.9,1.049,drive
14,13892,1360919822,09:17:02,118,-5.205,-6.01,64.219,8.014,3.907,140.958,140,61.152,7.82,2.965,1,8181.933,8577.582,0.1,0.148,Inf,287,371,24.9,1.072,drive
1,13894,1357144799,16:39:59,20,-5.681,-7.985,272.387,16.504,11.938,234.952,238,292.048,17.089,10.378,0,NA,0,5.3,7.413,Inf,0,0,22.9,1.077,drive
2,13894,1357144820,16:40:20,106,14.363,9.314,154.419,12.427,6.564,261.811,272,477.088,21.842,14.085,1,2720.24,2851.781,0.2,0.222,Inf,0,0,22.8,0.992,drive
3,13894,1357144926,16:42:06,35,13.263,8.852,161.384,12.704,3.458,249.914,257,2984.022,54.626,10.378,0,NA,0,0.15,0.074,Inf,0,0,23,0.979,drive
4,13894,1357144961,16:42:41,50,26.537,29.379,101.596,10.079,2.969,240.76,234,387.207,19.678,7.413,1,3011.568,3157.197,0.2,0.297,Inf,0,0,23.1,1.017,drive
5,13894,1357145011,16:43:31,55,30.319,30.659,13.885,3.726,3.52,244.764,244,12.813,3.58,2.965,0,NA,0,5.2,7.042,Inf,0,0,23.1,0.98,drive
6,13894,1357145066,16:44:26,31,30.921,30.406,9.198,3.033,2.75,241.871,241,18.316,4.28,2.965,0,NA,0,1.5,0.445,Inf,0,0,23.1,0.991,drive
7,13894,1357145097,16:44:57,256,27.746,28.985,59.519,7.715,3.554,235.426,234,66.418,8.15,5.93,1,13342.398,13987.59,12.6,12.824,Inf,0,0,23.4,0.981,drive
8,13894,1357145353,16:49:13,60,6.603,7.455,43.041,6.561,2.735,289.367,288,127.389,11.287,11.119,0,NA,0,0.1,0,Inf,0,0,24,0.956,drive
9,13894,1357145413,16:50:13,33,9.72,6.767,69.433,8.333,1.587,292.545,299,327.443,18.095,4.448,0,NA,0,0.1,0,Inf,0,0,24.4,0.975,drive
11,13894,1357145450,16:50:50,54,-11.266,-18.618,275.166,16.588,8.565,230.093,224,433.859,20.829,9.637,1,509.824,534.477,0.1,0,Inf,0,0,24.5,1.016,drive
12,13894,1357145504,16:51:44,51,3.465,10.149,284.241,16.859,9.819,264.549,264,1119.893,33.465,47.443,2,2552.808,363.237,0.1,0,Inf,0,0,24.6,0.972,drive
13,13894,1357145555,16:52:35,20,5.512,5.623,4.199,2.049,1.914,294.2,295,14.695,3.833,3.706,1,1307.44,1370.664,0.1,0,Inf,0,0,24.6,0.969,drive
14,13894,1357145575,16:52:55,50,8.391,26.157,663.78,25.764,9.722,224.78,225.5,46.216,6.798,8.154,0,NA,0,4.2,6.227,Inf,0,0,24.8,0.993,drive
15,13894,1357145625,16:53:45,20,3.878,-2.334,207.033,14.389,4.346,236.75,235.5,149.145,12.212,9.637,1,966.615,1013.357,0.1,0,Inf,0,0,24.9,0.998,drive
16,13894,1357145645,16:54:05,21,9.541,16.863,357.241,18.901,9.538,250.905,251,168.19,12.969,14.826,0,NA,0,0.1,0,Inf,0,0,24.7,0.969,drive
17,13894,1357145666,16:54:26,22,11.673,8.873,341.173,18.471,22.021,233.227,221,1251.613,35.378,34.841,1,1115.107,1169.03,0.2,0.148,Inf,0,0,24.7,1.017,drive
19,13894,1357145697,16:54:57,47,8.582,7.872,796.588,28.224,31.742,210.149,234,7158.303,84.607,38.548,5,541.247,643.448,0.2,0.148,Inf,1,43,24.7,1.049,drive
2,13901,1358329271,09:41:11,122,-34.199,-43.623,1730.63,41.601,54.922,173.352,185.5,3034.263,55.084,83.767,1,2259.206,2368.454,0.2,0.148,22,23,93,29.4,1.037,cycle
3,13901,1358329393,09:43:13,20,-19.369,-8.943,373.741,19.332,8.468,215.15,229.5,3722.239,61.01,31.876,1,690.843,724.25,0.1,0,Inf,16,48,27.9,1.022,cycle
4,13901,1358329413,09:43:33,39,-48.415,-49.829,41.083,6.41,3.883,150.538,138,663.255,25.754,10.378,0,NA,0,0.15,0.148,Inf,55,75,27.5,1.054,cycle
5,13901,1358329452,09:44:12,42,-55.2,-58.04,160.472,12.668,4.426,125.119,115,1543.229,39.284,10.378,1,2646.701,2774.686,1.2,0.148,Inf,52,64,27.3,1.026,cycle
6,13901,1358329494,09:44:54,20,-58.728,-59.53,8.385,2.896,2.509,129.15,129.5,24.871,4.987,2.965,0,NA,0,1.3,0,Inf,57,61,27.1,1.031,cycle
7,13901,1358329514,09:45:14,58,-39.686,-39.557,18.53,4.305,2.7,141.672,140,416.856,20.417,8.154,0,NA,0,0.1,0.074,Inf,86,96,26.9,1.053,cycle
8,13901,1358329572,09:46:12,35,-36.319,-39.046,1017.946,31.905,33.966,188.743,185,1128.667,33.596,29.652,13,640.453,6.672,0.1,0,Inf,43,107,26.6,1.155,cycle
9,13901,1358329607,09:46:47,77,-38.772,-38.742,153.571,12.392,7.12,145.766,141,315.629,17.766,14.826,5,2898.932,60.045,0.1,0.148,Inf,81,107,26.4,1.065,cycle
11,13901,1358329695,09:48:15,63,-38.341,-40.329,121.157,11.007,4.888,157.698,149,774.472,27.829,11.861,1,4364.97,4576.045,0.2,0.148,Inf,77,93,26.2,1.068,cycle
12,13901,1358329758,09:49:18,33,-30.289,-38.359,286.467,16.925,7.279,153.273,155,1356.455,36.83,23.722,0,NA,0,0.1,0,Inf,84,109,26.1,1.139,cycle
13,13901,1358329791,09:49:51,28,0.834,6.373,249.932,15.809,4.118,155.214,157,40.175,6.338,4.448,0,NA,0,0.15,0.148,Inf,102,112,26.1,1.064,cycle
14,13901,1358329819,09:50:19,76,-2.895,-0.461,191.03,13.821,5.477,139.263,137.5,342.516,18.507,6.672,2,4177.737,47.443,0.1,0.148,Inf,36,101,25.9,1.087,cycle
15,13901,1358329895,09:51:35,60,0.484,-0.366,29.911,5.469,5.655,165.067,166,55.216,7.431,7.413,0,NA,0,0.2,0.148,Inf,84,96,26,1.048,cycle
17,13901,1358329964,09:52:44,79,7.824,9.237,184.03,13.566,5.696,181.38,179,1067.444,32.672,37.065,2,2186.823,1753.916,0.35,0.519,Inf,70,109,25.8,1.066,cycle
18,13901,1358330043,09:54:03,43,10.589,10.316,16.45,4.056,3.743,170.419,173,82.963,9.108,5.93,0,NA,0,0.1,0.148,Inf,104,112,25.8,1.042,cycle
19,13901,1358330086,09:54:46,89,-4.522,-0.47,173.402,13.168,3.306,218.382,228,1277.534,35.743,5.93,1,5021.165,5263.971,3.4,4.893,Inf,32,104,25.6,1.009,cycle
20,13901,1358330175,09:56:15,35,71.022,77.328,263.582,16.235,1.322,117.4,143,8832.247,93.98,5.93,3,1417.806,146.777,0.1,0.148,Inf,20,77,25.6,1.002,cycle
1,13894,1358329270,09:41:10,57,-70.451,-80.286,834.472,28.887,0.642,124.966,125,65.402,8.087,2.965,0,NA,0,23.9,20.46,1,26,96,29.3,1.036,cycle
3,13894,1358329345,09:42:25,73,-40.703,-44.664,425.674,20.632,21.066,191.288,216,8156.68,90.314,66.717,1,4828.832,5062.338,0.1,0,Inf,18,48,27.2,1.068,cycle
4,13894,1358329418,09:43:38,30,-41.285,-40.915,15.715,3.964,3.734,174.567,174.5,38.323,6.191,3.706,0,NA,0,1.2,0.445,Inf,32,37,26.4,1.026,cycle
