UpDown.mean,UpDown.median,UpDown.var,UpDown.sd,UpDown.mad,Degrees.mean,Degrees.median,Degrees.var,Degrees.sd,Degrees.mad,Magnitude.sum,Magnitude.mean,Magnitude.energy,Activity
10.41722035,10.35397223,87.89921549,9.375458148,1.689917671,146.5521886,146,161.9756441,12.72696523,2.9652,917.9266913,1.030220753,0.001122334,active
3.861056726,-1.683756676,428.6815766,20.70462694,15.74297149,118.2111111,103,2806.832886,52.97955158,53.3736,3736.604507,1.037945696,0.000277778,sleep
-14.06891595,-11.57533368,62.19466625,7.886359506,0.57922707,134.7033333,132,195.7596999,13.99141522,4.4478,3747.243861,1.040901072,0.000277778,sleep
-15.5627492,-34.11229089,507.5942207,22.52985177,3.861182311,127.8669444,120,2924.757784,54.0810298,51.891,3658.901724,1.01636159,0.000277778,sleep
2.156012642,4.593719328,153.9144692,12.40622703,1.637318852,133.1713889,144,1098.024244,33.13644887,5.9304,3726.242272,1.035067298,0.000277778,sleep
-0.157611252,-0.019476476,160.6381629,12.67431114,13.6465951,103.9244444,148,7952.329383,89.17583407,34.0998,3615.685159,1.004356988,0.000277778,sleep
8.742365587,12.45410339,83.9180561,9.160679893,8.253631623,39.96888889,52,2615.708396,51.14399667,51.891,3686.093024,1.023914729,0.000277778,sleep
-7.748711841,-17.41314099,928.338826,30.46865317,28.58559089,177.3029536,167,1488.012027,38.57475893,48.9258,1192.277557,1.006141398,0.000843882,active
-0.501216151,2.884252369,656.8126659,25.62835668,14.51710207,192.3522013,194,2262.037007,47.56087685,20.7564,787.5096625,0.990578192,0.001257862,active
0.257757832,5.192900985,475.448795,21.80478835,12.59197002,198.3584656,192,1087.78259,32.98154924,32.6172,749.4998922,0.991401974,0.001322751,active
16.1787741,12.20774589,599.8589442,24.49201797,17.16464039,133.4210526,144,2291.212406,47.86661055,53.3736,61.28015905,1.07509051,0.01754386,active
11.19069997,19.08761484,889.2645346,29.82053881,20.99881508,213.4813385,223,3391.288633,58.23477169,28.1694,757.2856346,0.974627586,0.001287001,active
10.58064165,-0.757348907,815.4652014,28.55635133,18.88460719,188.9302721,205,4210.670879,64.88968237,28.1694,1159.498639,0.985968231,0.00085034,active
-18.44711077,-18.77503877,1362.432291,36.91114047,40.88900229,141.9988545,160,6655.386467,81.58055201,59.304,1109.393458,1.270782884,0.001145475,active
-19.11427923,-19.07562842,1443.571888,37.99436653,43.87338648,114.4018583,116,6029.368555,77.64900872,74.13,1109.83664,1.289008873,0.00116144,active
-11.99757626,-9.587970671,1417.547528,37.65033238,40.10591175,136.6738906,157,7502.482386,86.61687125,72.6474,1273.579059,1.314323075,0.001031992,active
-7.457813228,-3.650833285,1892.170097,43.49908156,50.50113594,128.8048485,143,6410.832015,80.06767147,66.717,1064.038254,1.289743338,0.001212121,active
31.73388677,32.43097535,51.55317827,7.180054197,2.354788347,72.1232493,67,725.5948865,26.93686854,11.8608,742.658734,1.040138283,0.00140056,active
30.51922006,31.89765827,64.94002183,8.058537202,1.408992747,12.10894309,5,667.4359948,25.83478265,7.413,621.2606509,1.01017992,0.001626016,active
32.06914106,32.22835932,35.84226888,5.98684131,1.887714074,71.24789916,77,1022.040844,31.96937353,29.652,743.5046089,1.041322982,0.00140056,active
-13.58004341,-21.84077184,397.1853784,19.92951024,3.171165956,89.07974482,82,930.0543335,30.49679218,8.8956,657.9991436,1.04944042,0.001594896,active
-7.74754713,-8.019314815,242.9473934,15.58676982,1.353922139,101.441701,102,274.6617751,16.57292295,4.4478,762.9871149,1.046621557,0.001371742,active
-22.65419304,-29.5870563,381.7739702,19.53903708,3.386244901,122.7015342,121,181.8074418,13.48359899,5.9304,750.2751437,1.046408848,0.0013947,active
-24.0797965,-25.51173265,657.9884379,25.65128531,19.5127648,190.8974359,193,1355.809645,36.82132052,19.2738,552.9496774,1.012728347,0.001831502,active
-18.04147977,-25.15109458,360.3319097,18.98241053,11.62108894,168.9488753,163,688.5650039,26.24052217,10.3782,498.8624832,1.020168677,0.00204499,active
-31.54330532,-43.25055756,631.6391502,25.13243224,7.089738916,117.7137255,119.5,2579.124173,50.78507825,69.6822,523.8950849,1.027245265,0.001960784,active
19.45039198,21.75148056,835.6531824,28.9076665,32.60014744,163.9437229,168,3314.964288,57.57572655,59.304,525.850394,1.138204316,0.002164502,active
28.42491411,31.5618363,782.4588741,27.97246636,28.3448315,120.1775148,129,2532.565264,50.324599,51.891,598.3885987,1.180253646,0.001972387,active
20.74326475,24.76361032,982.3763601,31.34288372,32.02167817,138.1378026,151,3463.645154,58.85274126,48.9258,624.7048908,1.163323819,0.001862197,active
-9.09249133,-3.610951712,338.1166971,18.38794978,19.63327598,156.7110266,153,323.5661346,17.98794415,10.3782,805.8166873,1.021313926,0.001267427,active
7.652952278,2.021660022,296.2645998,17.21233859,9.252745739,157.1619385,144,1113.380845,33.36736198,26.6868,860.9118579,1.01762631,0.001182033,active
